iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   2  5.031616e+04    7.66e+01    2.59e+05   1.21e+01   9.88e-01  9.00e+04        1    1.03e-01    4.93e-01
   3  5.026311e+04    5.31e+01    6.74e+05   2.06e+01   8.83e-01  1.63e+05        1    1.38e-01    6.32e-01
   4  5.023539e+04    2.77e+01    3.68e+05   1.69e+01   9.37e-01  4.90e+05        1    1.80e-01    8.12e-01
   5  5.022837e+04    7.03e+00    1.32e+05   1.05e+01   9.82e-01  1.47e+06        1    1.62e-01    9.74e-01
   6  5.022779e+04    5.79e-01    9.43e+03   2.76e+00   1.02e+00  4.41e+06        1    1.59e-01    1.13e+00
   7  5.022778e+04    6.12e-03    1.81e+02   3.49e-01   1.05e+00  1.32e+07        1    1.57e-01    1.29e+00
   8  5.022778e+04    4.02e-05    3.42e+00   2.96e-02   1.07e+00  3.97e+07        1    1.12e-01    1.40e+00
   9  5.022778e+04    2.68e-07    5.75e-01   2.29e-03   1.08e+00  1.19e+08        1    1.59e-01    1.56e+00
  10  5.022778e+04    1.67e-09    4.93e-02   1.76e-04   1.15e+00  3.57e+08        1    1.52e-01    1.71e+00
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  5.046746e+04    0.00e+00    3.98e+04   0.00e+00   0.00e+00  1.00e+04        0    6.69e-02    2.47e-01
   1  5.028730e+04    1.80e+02    2.29e+02   2.91e+00   1.00e+00  3.00e+04        1    1.55e-01    4.03e-01
   2  5.028681e+04    4.89e-01    1.85e+03   9.26e-01   1.01e+00  9.00e+04        1    1.08e-01    5.11e-01
   3  5.028643e+04    3.83e-01    4.50e+03   1.60e+00   1.02e+00  2.70e+05        1    9.38e-02    6.05e-01
   4  5.028627e+04    1.61e-01    3.54e+03   1.60e+00   1.03e+00  8.10e+05        1    1.05e-01    7.10e-01
   5  5.028625e+04    1.98e-02    6.28e+02   6.79e-01   1.04e+00  2.43e+06        1    9.17e-02    8.01e-01
   6  5.028625e+04    6.03e-04    2.84e+01   1.24e-01   1.06e+00  7.29e+06        1    9.37e-02    8.95e-01
   7  5.028625e+04    6.76e-06    1.58e+00   1.25e-02   1.07e+00  2.19e+07        1    9.17e-02    9.87e-01
   8  5.028625e+04    5.01e-08    2.66e-01   9.91e-04   1.08e+00  6.56e+07        1    9.10e-02    1.08e+00
   9  5.028625e+04    1.16e-10    2.14e-02   7.62e-05   4.41e-01  6.55e+07        1    8.91e-02    1.17e+00
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  5.679763e+04    0.00e+00    2.93e+04   0.00e+00   0.00e+00  1.00e+04        0    7.73e-02    2.67e-01
